TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
64,4,16,3010202,Unsaturated,Perception,1,0,-3.485634,123048243,123049226,0.9831479,1,13.4217712745476,2.66873895888659,3.485634,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
65,4,17,3010202,Unsaturated,Perception,1,0,-2.788507,123058335,123059059,0.7240048,1,10.7374162495187,2.46278170921765,2.788507,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
66,4,18,3010202,Unsaturated,Perception,0,1,-2.230806,123108165,123109256,1.090744,1,8.58993453985368,2.26071406299652,2.230806,-25.97,2.230806,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
70,5,1,3020202,Saturated,Perception,1,0,25.97,123155247,123156398,1.151773,1,80,4.39444915467244,25.97,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
71,5,2,3020202,Saturated,Perception,1,0,20.776,123205574,123206478,0.9041745,1,64,4.17438726989564,20.776,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
72,5,3,3020202,Saturated,Perception,0,0,16.6208,123215607,123216311,0.7042356,1,51.2,3.95508249488859,16.6208,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
73,5,4,3020202,Saturated,Perception,0,0,20.776,123225446,123226159,0.7129869,1,64,4.17438726989564,20.776,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
74,5,5,3020202,Saturated,Perception,1,1,25.97,123235284,123235908,0.624189,1,80,4.39444915467244,25.97,32.4625,25.97,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
75,5,6,3020202,Saturated,Perception,1,0,20.776,123245023,123245838,0.8150436,1,64,4.17438726989564,20.776,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
76,5,7,3020202,Saturated,Perception,0,1,16.6208,123254959,123255970,1.011125,1,51.2,3.95508249488859,16.6208,32.4625,16.6208,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
77,5,8,3020202,Saturated,Perception,0,0,20.776,123305074,123305851,0.7769967,1,64,4.17438726989564,20.776,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
78,5,9,3020202,Saturated,Perception,0,0,25.97,123314977,123316548,1.571157,1,80,4.39444915467244,25.97,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
79,5,10,3020202,Saturated,Perception,1,1,32.4625,123325666,123326496,0.8300039,1,100,4.61512051684126,32.4625,32.4625,32.4625,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
80,5,11,3020202,Saturated,Perception,1,0,25.97,123335555,123336328,0.7730298,1,80,4.39444915467244,25.97,32.4625,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
81,5,12,3020202,Saturated,Perception,0,1,20.776,123345444,123346361,0.9164788,1,64,4.17438726989564,20.776,32.4625,20.776,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
82,5,13,3020202,Saturated,Perception,1,1,25.97,123355459,123356113,0.6540037,1,80,4.39444915467244,25.97,32.4625,25.97,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
86,2,1,1210202,Slow,Nature,1,0,-0.56,123441132,123441915,0.7839232,1,100,4.61512051684126,0.56,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
87,2,2,1210202,Slow,Nature,1,0,-0.448,123451022,123451931,0.9094612,1,80,4.39444915467244,0.448,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
88,2,3,1210202,Slow,Nature,1,0,-0.3584,123501047,123501812,0.7655161,1,64,4.17438726989564,0.3584,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
89,2,4,1210202,Slow,Nature,1,0,-0.28672,123510926,123511776,0.8504075,1,51.2,3.95508249488859,0.28672,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
90,2,5,1210202,Slow,Nature,1,0,-0.229376,123520923,123521858,0.9344312,1,40.96,3.7367167835281,0.229376,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
91,2,6,1210202,Slow,Nature,1,0,-0.1835008,123530990,123531840,0.8490461,1,32.768,3.5195136084802,0.1835008,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
92,2,7,1210202,Slow,Nature,0,1,-0.1468006,123540952,123541920,0.968802,1,26.2143928571429,3.30374598251157,0.1468006,-0.56,0.1468006,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
93,2,8,1210202,Slow,Nature,0,0,-0.1835008,123551026,123554203,3.177068,1,32.768,3.5195136084802,0.1835008,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
94,2,9,1210202,Slow,Nature,1,1,-0.229376,123603322,123604184,0.8613027,1,40.96,3.7367167835281,0.229376,-0.56,0.229376,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
95,2,10,1210202,Slow,Nature,0,1,-0.1835008,123613295,123614130,0.8353544,1,32.768,3.5195136084802,0.1835008,-0.56,0.1835008,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
96,2,11,1210202,Slow,Nature,0,0,-0.229376,123623263,123624063,0.7994582,1,40.96,3.7367167835281,0.229376,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
97,2,12,1210202,Slow,Nature,1,1,-0.28672,123633228,123634127,0.8998759,1,51.2,3.95508249488859,0.28672,-0.56,0.28672,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
98,2,13,1210202,Slow,Nature,1,0,-0.229376,123643269,123644142,0.8729806,1,40.96,3.7367167835281,0.229376,-0.56,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
99,2,14,1210202,Slow,Nature,0,1,-0.1835008,123653237,123654124,0.8872774,1,32.768,3.5195136084802,0.1835008,-0.56,0.1835008,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
103,3,1,1220202,Fast,Nature,1,0,0.4,123739159,123742213,3.053685,1,51.2,3.95508249488859,0.4,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
104,3,2,1220202,Fast,Nature,0,0,0.32,123751340,123752163,0.822966,1,40.96,3.7367167835281,0.32,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
106,3,3,1220202,Fast,Nature,0,0,0.4,123820019,123820941,0.9220713,1,51.2,3.95508249488859,0.4,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
107,3,4,1220202,Fast,Nature,1,0,0.5,123830084,123831004,0.9198928,1,64,4.17438726989564,0.5,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
108,3,5,1220202,Fast,Nature,1,0,0.4,123840135,123841702,1.567016,1,51.2,3.95508249488859,0.4,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
109,3,6,1220202,Fast,Nature,0,1,0.32,123850824,123852017,1.192991,1,40.96,3.7367167835281,0.32,0.78125,0.32,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
110,3,7,1220202,Fast,Nature,1,1,0.4,123901162,123902065,0.9025122,1,51.2,3.95508249488859,0.4,0.78125,0.4,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
111,3,8,1220202,Fast,Nature,0,1,0.32,123911160,123912045,0.8852288,1,40.96,3.7367167835281,0.32,0.78125,0.32,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
112,3,9,1220202,Fast,Nature,0,0,0.4,123921142,123921995,0.8529561,1,51.2,3.95508249488859,0.4,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
113,3,10,1220202,Fast,Nature,0,0,0.5,123931074,123931976,0.9019203,1,64,4.17438726989564,0.5,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
114,3,11,1220202,Fast,Nature,0,0,0.625,123941084,123942045,0.9610821,1,80,4.39444915467244,0.625,0.78125,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
115,3,12,1220202,Fast,Nature,1,1,0.78125,123951145,123951990,0.8443366,1,100,4.61512051684126,0.78125,0.78125,0.78125,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
116,3,13,1220202,Fast,Nature,0,1,0.625,124001088,124001904,0.8156511,1,80,4.39444915467244,0.625,0.78125,0.625,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
