TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
126,8,7,2210101,Light,Nature,1,1,4.1616,124006192,124006777,0.5850871,1,100,4.61512051684126,4.1616,4.1616,4.1616,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
127,8,8,2210101,Light,Nature,1,0,3.53736,124015658,124016987,1.329369,1,85,4.45434729625351,3.53736,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
128,8,9,2210101,Light,Nature,0,1,3.006756,124026184,124027080,0.8956978,1,72.25,4.29387824789718,3.006756,4.1616,3.006756,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
129,8,10,2210101,Light,Nature,1,1,3.53736,124036703,124037456,0.7525847,1,85,4.45434729625351,3.53736,4.1616,3.53736,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
130,8,11,2210101,Light,Nature,1,0,3.006756,124047864,124048641,0.7769873,1,72.25,4.29387824789718,3.006756,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
131,8,12,2210101,Light,Nature,1,0,2.555743,124058773,124059935,1.162079,1,61.4125096116878,4.13376572982932,2.555743,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
132,8,13,2210101,Light,Nature,1,0,2.172382,124109220,124109885,0.6651358,1,52.2006439830834,3.97407050121951,2.172382,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
133,8,14,2210101,Light,Nature,0,1,1.846525,124118890,124119848,0.9579123,1,44.3705545943868,3.81486331741396,1.846525,4.1616,1.846525,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
134,8,15,2210101,Light,Nature,1,1,2.172382,124130355,124131555,1.19933,1,52.2006439830834,3.97407050121951,2.172382,4.1616,2.172382,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
138,9,1,1220101,Fast,Nature,1,0,0.36992,124212828,124213490,0.6621338,1,100,4.61512051684126,0.36992,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
139,9,2,1220101,Fast,Nature,1,0,0.314432,124223506,124224225,0.7182881,1,85,4.45434729625351,0.314432,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
140,9,3,1220101,Fast,Nature,1,0,0.2672672,124233059,124233960,0.9009639,1,72.25,4.29387824789718,0.2672672,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
141,9,4,1220101,Fast,Nature,1,0,0.2271771,124242487,124243200,0.7132281,1,61.4124945934256,4.13376548920026,0.2271771,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
142,9,5,1220101,Fast,Nature,0,1,0.1931005,124252436,124253096,0.6600716,1,52.2006109429066,3.97406988017088,0.1931005,0.36992,0.1931005,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
143,9,6,1220101,Fast,Nature,0,0,0.2271771,124301714,124302580,0.8665849,1,61.4124945934256,4.13376548920026,0.2271771,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
144,9,7,1220101,Fast,Nature,1,1,0.2672672,124311253,124311909,0.655755,1,72.25,4.29387824789718,0.2672672,0.36992,0.2672672,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
145,9,8,1220101,Fast,Nature,1,0,0.2271771,124320580,124321694,1.113954,1,61.4124945934256,4.13376548920026,0.2271771,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
146,9,9,1220101,Fast,Nature,1,0,0.1931005,124330513,124331201,0.6876733,1,52.2006109429066,3.97406988017088,0.1931005,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
147,9,10,1220101,Fast,Nature,0,1,0.1641354,124339620,124340753,1.133408,1,44.3705125432526,3.81486239057597,0.1641354,0.36992,0.1641354,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
148,9,11,1220101,Fast,Nature,1,1,0.1931005,124350763,124351415,0.6513883,1,52.2006109429066,3.97406988017088,0.1931005,0.36992,0.1931005,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
149,9,12,1220101,Fast,Nature,1,0,0.1641354,124400238,124400988,0.750227,1,44.3705125432526,3.81486239057597,0.1641354,0.36992,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
